Brand  ,Country  ,Whiskies  ,Votes  ,Rating  ,WB Ranking  ,
"""GF""",Scotland,5,5,84.05,D,
"""L""",Scotland,1,1,83.67,D,
"""zari"" on top",Scotland,1,1,43.00,G,
'S Peaty,Scotland,12,6,85.98,C,
't Koelschip,Netherlands,8,6,36.08,G,
(ri)1,United States,3,2,76.84,E,
100 Pipers,Scotland,52,29,74.68,F,
100% Islay Selection,Scotland,4,4,85.83,C,
1000 Hills,Rwanda,1,1,40.67,G,
100° Proof Islay,Scotland,1,1,85.67,C,
106 Sample Room,Scotland,1,1,56.00,G,
108 Brand,Scotland,,,,G,
10th Mountain,United States,4,,,G,
10th Street,United States,9,2,90.50,B,
11Wells,United States,11,2,67.50,G,
12 (B) Squadron,Scotland,2,1,86.00,C,
12 Foot Beard,United States,1,,,G,
12 Point Rogue Buck Whiskey,Ireland,,,,G,
12.05,United States,7,,,G,
150th Tomintoul Highland Games,Scotland,1,1,87.00,C,
1512 Spirits,United States,9,4,82.75,D,
1769 Canadian Whisky,Canada,3,3,80.33,D,
1770,Scotland,16,14,82.56,D,
1792,United States,55,30,85.08,C,
1794 Maryland,United States,4,,,G,
1812 Maryland,United States,1,,,G,
1815 - 13 Sterne,Switzerland,2,1,78.33,E,
1835,United States,2,,,G,
1836,Scotland,8,6,86.49,C,
18th Street Distillery,United States,6,1,60.00,G,
1907,Bhutan,1,1,84.50,D,
1936,Canada,1,1,80.00,D,
2 Gingers,Ireland,3,1,77.00,E,
21 Brands,United States,1,,,G,
21C,Ireland,2,,,G,
24,Portugal,1,,,G,
2bar,United States,4,3,71.50,F,
2nd Chance,United States,4,3,80.96,D,
3 Elements,,1,,,G,
3 Howls,United States,4,3,90.67,B,
3 Isles,Scotland,1,1,83.00,D,
3 Lobos,Brazil,1,1,79.00,E,
3006 Whisky,Netherlands,1,,,G,
3020,Switzerland,1,1,77.00,E,
32 Mile Moonshine,United States,2,,,G,
3D,Scotland,1,1,85.00,C,
48,England,1,,,G,
5 Gulden,Austria,1,,,G,
500 Year Malt,Scotland,2,2,87.75,C,
52,Scotland,1,,,G,
5Nines,Australia,4,,,G,
5th and Harrison,Scotland,1,1,87.50,C,
6th Avenue,United States,1,1,85.00,C,
7 Brothers,Mauritius,1,,,G,
71 (Scottish) Engineer Regiment,Scotland,1,,,G,
7K,Australia,4,,,G,
8 PM,India,2,1,41.67,G,
8 Seconds,Canada,2,1,66.20,G,
80 20,Scotland,1,1,86.80,C,
808,Scotland,3,3,74.61,F,
82 Chapters to Newcastle,,2,2,86.16,C,
958 Rechtobler Hochland Whisky,Switzerland,1,,,G,
A & B,Scotland,1,,,G,
A Bottle Which Must Not Be Named,,1,1,89.00,C,
A Classic Speyside,Scotland,3,,,G,
A Confidential Distillery in Speyside,Scotland,1,1,87.00,C,
A Distillery in Ireland,Ireland,4,3,86.64,C,
A Distillery in Orkney,Scotland,7,6,88.79,C,
A Distillery in Speyside,Scotland,3,2,89.25,C,
A Distillery in Tennessee,United States,2,2,83.88,D,
A Dream of Scotland,Scotland,,,,G,
A Drop of the Irish,Ireland,35,29,84.16,D,
A Frenchie's Dr(e)am,Scotland,1,1,86.00,C,
A Highland Distillery,Scotland,1,1,86.89,C,
A Highland Malt,Scotland,1,1,84.32,D,
A Highland Scape,Scotland,1,,,G,
A Local Islay,Scotland,1,1,81.67,D,
A Northern Islay Distillery,Scotland,5,5,87.80,C,
A Rare Find,Scotland,4,3,88.98,C,
A Real Scotch Whisky,Scotland,1,,,G,
A Secret Grain Distillery,Scotland,3,3,87.92,C,
A Secret Highland Still,Scotland,1,1,81.00,D,
A Secret Islay Distillery,Scotland,4,4,88.63,C,
A Secret Isle of Mull,Scotland,1,1,92.17,B,
A Secret Speyside,Scotland,5,3,87.14,C,
A Secret Speyside Distillery,Scotland,14,9,87.72,C,
A Single Shot,Scotland,1,,,G,
A Speyside Distillery,Scotland,16,15,87.18,C,
A Speyside Malt,Scotland,2,2,85.19,C,
A Speyside Single Malt,Scotland,4,4,90.00,B,
A Splendid Speyside Surprise,Scotland,1,1,84.70,D,
A Tennessee Distillery,United States,4,2,85.50,C,
A Very Special Speyside,Scotland,1,1,86.00,C,
A Wee Beauty,Scotland,1,,,G,
A'echter Mölltaler,Austria,1,1,89.00,C,
A. D. Laws,United States,25,7,81.71,D,
A. J. Cummins,United States,1,,,G,
A. Pichi's,Italy,1,,,G,
